Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Philadelphia Eagles,16,337,1267,7,3.8,79.2,66.06
2,Minnesota Vikings,16,364,1337,10,3.7,83.6,73.80
3,Carolina Panthers,16,353,1409,7,4.0,88.1,90.65
4,Tennessee Titans,16,398,1420,5,3.6,88.8,128.52
5,Denver Broncos,16,428,1430,9,3.3,89.4,145.96
6,Arizona Cardinals,16,407,1432,12,3.5,89.5,81.90
7,Cleveland Browns,16,467,1566,14,3.4,97.9,87.00
8,Dallas Cowboys,16,403,1664,7,4.1,104.0,39.19
9,Atlanta Falcons,16,402,1665,9,4.1,104.1,82.21
10,Pittsburgh Steelers,16,385,1693,14,4.4,105.8,8.03
11,Chicago Bears,16,432,1730,10,4.0,108.1,107.06
12,Oakland Raiders,16,433,1743,11,4.0,108.9,94.32
13,Houston Texans,16,440,1747,14,4.0,109.2,94.34
14,Miami Dolphins,16,431,1768,14,4.1,110.5,85.95
15,Baltimore Ravens,16,435,1780,12,4.1,111.3,63.07
16,New Orleans Saints,16,406,1787,11,4.4,111.7,47.00
17,Green Bay Packers,16,464,1793,10,3.9,112.1,93.66
18,Detroit Lions,16,432,1800,18,4.2,112.5,96.43
19,Seattle Seahawks,16,452,1824,14,4.0,114.0,72.54
20,New England Patriots,16,390,1836,6,4.7,114.8,54.88
21,Jacksonville Jaguars,16,429,1860,9,4.3,116.3,130.30
22,San Francisco 49ers,16,491,1861,13,3.8,116.3,84.71
23,Tampa Bay Buccaneers,16,440,1880,17,4.3,117.5,100.61
24,New York Jets,16,466,1887,13,4.0,117.9,99.76
25,Kansas City Chiefs,16,443,1890,15,4.3,118.1,56.69
26,Indianapolis Colts,16,488,1927,15,3.9,120.4,60.39
27,New York Giants,16,464,1933,10,4.2,120.8,108.57
28,Los Angeles Rams,16,418,1957,15,4.7,122.3,27.15
29,Buffalo Bills,16,466,1994,22,4.3,124.6,38.72
30,Cincinnati Bengals,16,489,2046,13,4.2,127.9,72.51
31,Los Angeles Chargers,16,430,2098,11,4.9,131.1,32.37
32,Washington Redskins,16,472,2146,13,4.5,134.1,10.72
,Avg Team,,429.8,1755.3,11.9,4.1,109.7,76.1
,League Total,,13755,56170,380,4.1,109.7,
,Avg Tm/G,,26.9,109.7,0.7,4.1,109.7,
