Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Minnesota Vikings,16,10,13,1,,,,,24,2,2,,21,22,27,30,1,252,15.8
2,Jacksonville Jaguars,16,9,17,,1,,1,1,29,1,1,,26,28,22,24,,268,16.8
3,Los Angeles Chargers,16,11,17,,,,1,,29,1,3,,23,26,23,27,2,272,17.0
4,Philadelphia Eagles,16,7,24,,,1,1,1,34,,1,,31,33,20,26,,295,18.4
5,New England Patriots,16,6,24,,,2,1,,33,1,2,,30,31,22,31,,296,18.5
6,Baltimore Ravens,16,12,18,,,,2,,32,,2,,27,30,28,33,,303,18.9
7,Pittsburgh Steelers,16,14,20,,,,2,,36,2,4,,28,31,20,24,,308,19.3
8,Atlanta Falcons,16,9,22,,,1,1,,33,1,2,,31,31,28,33,,315,19.7
9,Chicago Bears,16,10,18,1,1,1,1,,32,1,1,,31,32,29,32,1,320,20.0
10,New Orleans Saints,16,11,22,1,,1,1,,36,1,3,,30,33,26,31,,326,20.4
11,Carolina Panthers,16,7,25,,,1,1,,34,2,2,,32,32,29,34,,327,20.4
12,Los Angeles Rams,16,15,21,,,2,,,38,,2,,32,35,23,34,,329,20.6
13,Dallas Cowboys,16,7,28,,,1,4,,40,3,5,,29,35,19,25,,332,20.8
14,Seattle Seahawks,16,14,19,,,1,,,34,,1,,31,33,31,35,2,332,20.8
15,Kansas City Chiefs,16,15,23,,,1,,,39,3,6,,31,33,22,27,1,339,21.2
16,Cincinnati Bengals,16,13,20,1,,,1,,35,,0,,34,35,35,40,,349,21.8
17,Tennessee Titans,16,5,27,,,2,2,,36,,2,,29,34,37,41,,356,22.3
18,Buffalo Bills,16,22,14,,,1,1,,38,,1,,35,36,32,35,,359,22.4
19,Arizona Cardinals,16,12,24,,1,2,2,,41,1,7,,33,34,26,29,1,361,22.6
20,Oakland Raiders,16,11,24,,,3,,,38,1,2,,35,37,34,40,,373,23.3
21,Detroit Lions,16,18,21,,,1,4,,44,1,2,,41,42,23,29,,376,23.5
22,New York Jets,16,13,30,1,,2,,,46,1,4,,39,41,21,29,1,382,23.9
23,Denver Broncos,16,9,29,1,1,2,2,,44,,0,,42,44,24,27,2,382,23.9
24,Tampa Bay Buccaneers,16,17,22,,2,1,,1,43,,1,,40,42,26,30,,382,23.9
25,San Francisco 49ers,16,13,27,1,,,1,,42,3,4,,30,37,31,35,,383,23.9
26,Green Bay Packers,16,10,30,,,1,1,,42,2,2,,38,40,30,33,,384,24.0
27,New York Giants,16,10,32,1,,1,,,44,,1,,40,43,28,36,,388,24.3
28,Washington Redskins,16,13,23,1,,2,2,,41,3,5,,32,34,34,41,1,388,24.3
29,Miami Dolphins,16,14,26,,,1,3,,44,,3,,42,42,27,35,,393,24.6
30,Indianapolis Colts,16,15,23,,,2,4,,44,4,5,,37,38,31,37,1,404,25.3
31,Cleveland Browns,16,14,28,,1,3,1,1,48,2,3,,41,44,25,29,1,410,25.6
32,Houston Texans,16,14,30,1,,1,2,,48,1,2,,45,46,33,35,1,436,27.3
,Avg Team,,11.9,23.2,0.3,0.2,1.3,1.3,0.1,38.3,1.2,2.6,0.0,33.3,35.4,27.1,32.1,0.5,347.5,21.7
,League Total,,380,741,10,7,41,42,4,1225,37,82,1,1066,1134,866,1027,15,11120,21.7
,Avg Tm/G,,0.74,1.45,0.02,0.01,0.08,0.08,0.01,2.39,0.07,0.16,0.00,2.08,2.21,1.69,2.01,0.03,21.7,
