Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New York Giants,9,7,.563,394,400,-6,-0.4
Philadelphia Eagles,8,8,.500,396,328,68,4.3
Dallas Cowboys,8,8,.500,369,347,22,1.4
Washington Redskins,5,11,.313,288,367,-79,-4.9
Green Bay Packers,15,1,.938,560,359,201,12.6
Detroit Lions,10,6,.625,474,387,87,5.4
Chicago Bears,8,8,.500,353,341,12,0.8
Minnesota Vikings,3,13,.188,340,449,-109,-6.8
New Orleans Saints,13,3,.813,547,339,208,13.0
Atlanta Falcons,10,6,.625,402,350,52,3.3
Carolina Panthers,6,10,.375,406,429,-23,-1.4
Tampa Bay Buccaneers,4,12,.250,287,494,-207,-12.9
San Francisco 49ers,13,3,.813,380,229,151,9.4
Arizona Cardinals,8,8,.500,312,348,-36,-2.3
Seattle Seahawks,7,9,.438,321,315,6,0.4
St. Louis Rams,2,14,.125,193,407,-214,-13.4
