,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,San Diego Chargers,16,60,2822,47.0,0
2,New Orleans Saints,16,71,3146,44.3,0
3,Green Bay Packers,16,58,2492,43.0,0
4,New England Patriots,16,67,3055,45.6,0
5,Pittsburgh Steelers,16,87,3749,43.1,0
6,Carolina Panthers,16,52,2248,43.2,0
7,Washington Redskins,16,70,3172,45.3,0
8,Tampa Bay Buccaneers,16,58,2518,43.4,0
9,Philadelphia Eagles,16,85,3666,43.1,0
10,Atlanta Falcons,16,75,3460,46.1,0
11,Dallas Cowboys,16,72,3420,47.5,0
12,Baltimore Ravens,16,86,3746,43.6,0
13,Buffalo Bills,16,68,3039,44.7,0
14,Houston Texans,16,83,3896,46.9,0
15,Minnesota Vikings,16,67,2941,43.9,0
16,Miami Dolphins,16,95,4313,45.4,2
17,Oakland Raiders,16,68,3161,46.5,0
18,San Francisco 49ers,16,87,3911,45.0,0
19,Detroit Lions,16,78,3530,45.3,0
20,New York Giants,16,75,3321,44.3,0
21,Tennessee Titans,16,83,3628,43.7,2
22,Kansas City Chiefs,16,83,3951,47.6,0
23,Chicago Bears,16,85,3383,39.8,0
24,Cleveland Browns,16,76,3505,46.1,0
25,Indianapolis Colts,16,74,3230,43.6,0
26,Cincinnati Bengals,16,98,4562,46.6,0
27,Arizona Cardinals,16,92,4087,44.4,0
28,New York Jets,16,92,4141,45.0,1
29,Seattle Seahawks,16,81,3616,44.6,2
30,Jacksonville Jaguars,16,89,3852,43.3,1
31,Denver Broncos,16,92,4350,47.3,0
32,St. Louis Rams,16,81,3636,44.9,2
,Avg Team,,77.8,3501.6,45.0,0.3
,League Total,,2488,112051,45.0,9
,Avg Tm/G,,4.9,218.8,45.0,0.0
