,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Kansas City Chiefs,17,52,2502,48.1,0
2,Los Angeles Chargers,17,46,2104,45.7,0
3,Los Angeles Rams,17,62,2858,46.1,0
4,Arizona Cardinals,17,58,2714,46.8,0
5,Green Bay Packers,17,57,2648,46.5,0
6,Buffalo Bills,17,75,3394,45.3,1
7,New England Patriots,17,55,2580,46.9,0
8,Philadelphia Eagles,17,63,2744,43.6,1
9,Tennessee Titans,17,67,2986,44.6,0
10,San Francisco 49ers,17,70,3405,48.6,0
11,Indianapolis Colts,17,62,2750,44.4,2
12,Tampa Bay Buccaneers,17,70,3124,44.6,0
13,Chicago Bears,17,63,2823,44.8,0
14,Washington Football Team,17,63,2924,46.4,0
15,Las Vegas Raiders,17,68,3173,46.7,0
16,Detroit Lions,17,47,2154,45.8,0
17,Dallas Cowboys,17,71,3125,44.0,3
18,Cincinnati Bengals,17,74,3279,44.3,0
19,Atlanta Falcons,17,53,2485,46.9,0
20,Cleveland Browns,17,71,3425,48.2,0
21,Denver Broncos,17,60,3021,50.4,0
22,Baltimore Ravens,17,83,3788,45.6,0
23,New York Jets,17,59,2475,41.9,0
24,Jacksonville Jaguars,17,64,2882,45.0,0
25,New York Giants,17,67,2912,43.5,0
26,Pittsburgh Steelers,17,78,3473,44.5,2
27,Carolina Panthers,17,75,3397,45.3,1
28,Miami Dolphins,17,75,3308,44.1,1
29,Minnesota Vikings,17,64,3000,46.9,0
30,Seattle Seahawks,17,68,3124,45.9,0
31,New Orleans Saints,17,80,3644,45.6,1
32,Houston Texans,17,57,2513,44.1,0
,Avg Team,,64.9,2960.4,45.6,0.4
,League Total,,2077,94734,45.6,12
,Avg Tm/G,,3.8,174.1,45.6,0.0
