Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,12,4,0,.750,444,338,106,6.6
New York Jets,8,8,0,.500,290,387,-97,-6.1
Miami Dolphins,8,8,0,.500,317,335,-18,-1.1
Buffalo Bills,6,10,0,.375,339,388,-49,-3.1
Cincinnati Bengals,11,5,0,.688,430,305,125,7.8
Pittsburgh Steelers,8,8,0,.500,379,370,9,0.6
Baltimore Ravens,8,8,0,.500,320,352,-32,-2.0
Cleveland Browns,4,12,0,.250,308,406,-98,-6.1
Indianapolis Colts,11,5,0,.688,391,336,55,3.4
Tennessee Titans,7,9,0,.438,362,381,-19,-1.2
Jacksonville Jaguars,4,12,0,.250,247,449,-202,-12.6
Houston Texans,2,14,0,.125,276,428,-152,-9.5
Denver Broncos,13,3,0,.813,606,399,207,12.9
Kansas City Chiefs,11,5,0,.688,430,305,125,7.8
San Diego Chargers,9,7,0,.563,396,348,48,3.0
Oakland Raiders,4,12,0,.250,322,453,-131,-8.2
