,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Detroit Lions,16,211,64,30.3%,12,9,75.0%,42,16,38.1%
2,Washington Redskins,16,194,66,34.0%,17,12,70.6%,60,38,63.3%
3,Tennessee Titans,16,201,69,34.3%,11,7,63.6%,50,32,64.0%
4,New Orleans Saints,16,199,69,34.7%,12,4,33.3%,46,26,56.5%
5,San Diego Chargers,16,180,70,38.9%,13,6,46.2%,45,28,62.2%
6,Cincinnati Bengals,16,225,74,32.9%,16,5,31.3%,36,18,50.0%
7,Houston Texans,16,217,75,34.6%,8,3,37.5%,48,32,66.7%
8,Carolina Panthers,16,212,76,35.8%,11,3,27.3%,41,17,41.5%
9,San Francisco 49ers,16,223,76,34.1%,23,10,43.5%,41,22,53.7%
10,Seattle Seahawks,16,216,76,35.2%,11,4,36.4%,36,13,36.1%
11,Green Bay Packers,16,204,78,38.2%,17,10,58.8%,57,35,61.4%
12,St. Louis Rams,16,201,78,38.8%,16,9,56.3%,60,31,51.7%
13,Baltimore Ravens,16,233,78,33.5%,14,8,57.1%,41,20,48.8%
14,Kansas City Chiefs,16,229,78,34.1%,18,9,50.0%,37,19,51.4%
15,Arizona Cardinals,16,221,78,35.3%,16,6,37.5%,48,26,54.2%
16,Indianapolis Colts,16,210,79,37.6%,19,10,52.6%,41,24,58.5%
17,Tampa Bay Buccaneers,16,204,80,39.2%,14,8,57.1%,56,28,50.0%
18,Denver Broncos,16,218,83,38.1%,15,4,26.7%,60,37,61.7%
19,Chicago Bears,16,200,83,41.5%,16,12,75.0%,59,34,57.6%
20,New York Jets,16,231,85,36.8%,18,7,38.9%,49,22,44.9%
21,Buffalo Bills,16,245,91,37.1%,10,4,40.0%,51,24,47.1%
22,Oakland Raiders,16,211,91,43.1%,6,2,33.3%,62,37,59.7%
23,Pittsburgh Steelers,16,230,91,39.6%,20,9,45.0%,55,31,56.4%
24,Miami Dolphins,16,238,91,38.2%,15,8,53.3%,56,26,46.4%
25,Dallas Cowboys,16,210,91,43.3%,18,9,50.0%,62,40,64.5%
26,Philadelphia Eagles,16,231,93,40.3%,20,8,40.0%,49,26,53.1%
27,New York Giants,16,232,93,40.1%,15,4,26.7%,46,25,54.3%
28,Jacksonville Jaguars,16,226,96,42.5%,12,9,75.0%,65,39,60.0%
29,Atlanta Falcons,16,209,96,45.9%,11,7,63.6%,57,34,59.6%
30,New England Patriots,16,232,98,42.2%,21,4,19.0%,50,28,56.0%
31,Minnesota Vikings,16,231,102,44.2%,18,11,61.1%,63,39,61.9%
32,Cleveland Browns,16,244,109,44.7%,9,4,44.4%,50,32,64.0%
,League Total,,,,,,,,,,
