,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,San Diego Chargers,16,65,3054,47.0,0
2,New Orleans Saints,16,83,3853,46.4,0
3,Green Bay Packers,16,70,2994,42.8,1
4,Denver Broncos,16,89,4100,46.1,2
5,Carolina Panthers,16,73,3321,45.5,0
6,Chicago Bears,16,58,2581,44.5,0
7,Atlanta Falcons,16,62,2898,46.7,0
8,Detroit Lions,16,84,3733,44.4,0
9,Cincinnati Bengals,16,90,3984,44.3,1
10,Minnesota Vikings,16,77,3325,43.2,0
11,Dallas Cowboys,16,61,2880,47.2,0
12,New England Patriots,16,80,3559,44.5,0
13,Pittsburgh Steelers,16,79,3397,43.0,0
14,Arizona Cardinals,16,88,4084,46.4,0
15,Indianapolis Colts,16,75,3423,45.6,0
16,Seattle Seahawks,16,82,3779,46.1,1
17,St. Louis Rams,16,74,3597,48.6,0
18,San Francisco 49ers,16,87,3884,44.6,2
19,Tennessee Titans,16,76,3422,45.0,0
20,Philadelphia Eagles,16,74,3146,42.5,0
21,Miami Dolphins,16,78,3406,43.7,1
22,Washington Redskins,16,74,3437,46.4,0
23,Cleveland Browns,16,88,3848,43.7,0
24,Tampa Bay Buccaneers,16,68,3002,44.1,2
25,Oakland Raiders,16,77,3214,41.7,3
26,Houston Texans,16,91,4161,45.7,0
27,New York Jets,16,82,3679,44.9,2
28,Kansas City Chiefs,16,87,4052,46.6,0
29,New York Giants,16,87,3774,43.4,1
30,Baltimore Ravens,16,98,4484,45.8,0
31,Jacksonville Jaguars,16,76,3268,43.0,2
32,Buffalo Bills,16,94,4274,45.5,0
,Avg Team,,79.0,3550.4,45.0,0.6
,League Total,,2527,113614,45.0,18
,Avg Tm/G,,4.9,221.9,45.0,0.0
