,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Atlanta Falcons,16,66,3176,48.1,0
2,Washington Redskins,16,61,2797,45.9,0
3,Green Bay Packers,16,59,2525,42.8,0
4,Indianapolis Colts,16,63,2995,47.5,0
5,New Orleans Saints,16,56,2620,46.8,0
6,San Diego Chargers,16,62,2874,46.4,0
7,Dallas Cowboys,16,70,3049,43.6,0
8,Detroit Lions,16,61,2685,44.0,0
9,Philadelphia Eagles,16,62,2874,46.4,1
10,Chicago Bears,16,67,3049,45.5,0
11,Tampa Bay Buccaneers,16,70,3108,44.4,0
12,Pittsburgh Steelers,16,70,3038,43.4,0
13,Houston Texans,16,84,3862,46.0,0
14,New England Patriots,16,80,3640,45.5,0
15,Seattle Seahawks,16,79,3400,43.0,1
16,Minnesota Vikings,16,72,3290,45.7,0
17,Buffalo Bills,16,70,3024,43.2,1
18,Kansas City Chiefs,16,69,3076,44.6,0
19,Carolina Panthers,16,71,3323,46.8,0
20,Jacksonville Jaguars,16,82,3774,46.0,1
21,New York Jets,16,72,3184,44.2,0
22,Tennessee Titans,16,72,3361,46.7,0
23,Cincinnati Bengals,16,74,3333,45.0,0
24,Baltimore Ravens,16,91,4090,44.9,1
25,Oakland Raiders,16,72,3309,46.0,0
26,Arizona Cardinals,16,80,3634,45.4,0
27,Cleveland Browns,16,74,3473,46.9,0
28,Denver Broncos,16,89,4353,48.9,0
29,Miami Dolphins,16,74,3096,41.8,1
30,New York Giants,16,89,4113,46.2,0
31,Los Angeles Rams,16,96,4313,44.9,1
32,San Francisco 49ers,16,78,3429,44.0,0
,Avg Team,,73.0,3308.3,45.3,0.2
,League Total,,2335,105867,45.3,7
,Avg Tm/G,,4.6,206.8,45.3,0.0
