,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Tampa Bay Buccaneers,16,195,67,34.4%,10,8,80.0%,50,29,58.0%
2,Baltimore Ravens,16,214,75,35.0%,16,11,68.8%,47,26,55.3%
3,New England Patriots,16,206,76,36.9%,18,7,38.9%,44,23,52.3%
4,Dallas Cowboys,16,197,77,39.1%,14,9,64.3%,54,29,53.7%
5,Tennessee Titans,16,210,77,36.7%,22,12,54.5%,55,29,52.7%
6,Miami Dolphins,16,213,77,36.2%,16,9,56.3%,51,29,56.9%
7,Oakland Raiders,16,198,78,39.4%,15,4,26.7%,57,33,57.9%
8,Carolina Panthers,16,211,80,37.9%,13,9,69.2%,55,24,43.6%
9,Indianapolis Colts,16,193,80,41.5%,8,3,37.5%,50,25,50.0%
10,Minnesota Vikings,16,206,80,38.8%,14,3,21.4%,44,24,54.5%
11,Buffalo Bills,16,205,82,40.0%,14,4,28.6%,57,30,52.6%
12,Seattle Seahawks,16,212,82,38.7%,20,6,30.0%,46,26,56.5%
13,Los Angeles Rams,16,220,82,37.3%,14,12,85.7%,52,37,71.2%
14,Philadelphia Eagles,16,205,82,40.0%,18,8,44.4%,51,23,45.1%
15,Houston Texans,16,213,82,38.5%,13,3,23.1%,44,23,52.3%
16,Green Bay Packers,16,199,82,41.2%,18,12,66.7%,45,28,62.2%
17,Jacksonville Jaguars,16,224,83,37.1%,13,6,46.2%,55,30,54.5%
18,San Diego Chargers,16,208,83,39.9%,16,11,68.8%,66,36,54.5%
19,New Orleans Saints,16,194,84,43.3%,10,4,40.0%,56,32,57.1%
20,New York Giants,16,238,84,35.3%,14,7,50.0%,43,17,39.5%
21,New York Jets,16,210,84,40.0%,10,2,20.0%,51,29,56.9%
22,Chicago Bears,16,210,85,40.5%,14,10,71.4%,59,31,52.5%
23,Arizona Cardinals,16,219,85,38.8%,15,7,46.7%,45,25,55.6%
24,Denver Broncos,16,236,86,36.4%,16,6,37.5%,42,22,52.4%
25,Cincinnati Bengals,16,217,86,39.6%,19,9,47.4%,49,25,51.0%
26,Pittsburgh Steelers,16,214,88,41.1%,21,11,52.4%,57,26,45.6%
27,Atlanta Falcons,16,213,89,41.8%,25,18,72.0%,55,40,72.7%
28,Detroit Lions,16,198,90,45.5%,8,3,37.5%,53,36,67.9%
29,Cleveland Browns,16,206,93,45.1%,12,9,75.0%,60,40,66.7%
30,Kansas City Chiefs,16,222,96,43.2%,20,10,50.0%,53,26,49.1%
31,Washington Redskins,16,208,97,46.6%,16,9,56.3%,54,32,59.3%
32,San Francisco 49ers,16,226,102,45.1%,7,4,57.1%,66,41,62.1%
,League Total,,,,,,,,,,
