,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Buffalo Bills,16,63,2896,46.0,0
2,Las Vegas Raiders,16,48,2192,45.7,0
3,Carolina Panthers,16,51,2233,43.8,0
4,Green Bay Packers,16,56,2506,44.8,0
5,Indianapolis Colts,16,64,2832,44.3,1
6,Dallas Cowboys,16,54,2461,45.6,0
7,Cleveland Browns,16,50,2171,43.4,0
8,Tennessee Titans,16,45,2147,47.7,0
9,Kansas City Chiefs,16,57,2647,46.4,0
10,Baltimore Ravens,16,61,2838,46.5,0
11,Tampa Bay Buccaneers,16,66,2956,44.8,1
12,New England Patriots,16,52,2390,46.0,0
13,Houston Texans,16,51,2285,44.8,1
14,Atlanta Falcons,16,54,2468,45.7,0
15,Minnesota Vikings,16,42,1929,45.9,0
16,Arizona Cardinals,16,67,2985,44.6,2
17,Detroit Lions,16,50,2066,41.3,3
18,Seattle Seahawks,16,56,2524,45.1,1
19,New Orleans Saints,16,66,3068,46.5,0
20,Los Angeles Chargers,16,61,2893,47.4,0
21,Chicago Bears,16,63,2866,45.5,0
22,Jacksonville Jaguars,16,49,2090,42.7,1
23,New York Giants,16,55,2589,47.1,0
24,Denver Broncos,16,63,2829,44.9,0
25,Miami Dolphins,16,66,3036,46.0,1
26,San Francisco 49ers,16,69,3349,48.5,0
27,Los Angeles Rams,16,84,4065,48.4,0
28,Cincinnati Bengals,16,59,2797,47.4,0
29,Washington Football Team,16,73,3370,46.2,0
30,Philadelphia Eagles,16,71,3271,46.1,0
31,Pittsburgh Steelers,16,81,3701,45.7,0
32,New York Jets,16,54,2272,42.1,2
,Avg Team,,59.4,2710.1,45.6,0.4
,League Total,,1901,86722,45.6,13
,Avg Tm/G,,3.7,169.4,45.6,0.0
