Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Buffalo Bills,13,3,0,.813,501,375,126,7.9
Miami Dolphins,10,6,0,.625,404,338,66,4.1
New England Patriots,7,9,0,.438,326,353,-27,-1.7
New York Jets,2,14,0,.125,243,457,-214,-13.4
Pittsburgh Steelers,12,4,0,.750,416,312,104,6.5
Baltimore Ravens,11,5,0,.688,468,303,165,10.3
Cleveland Browns,11,5,0,.688,408,419,-11,-0.7
Cincinnati Bengals,4,11,1,.281,311,424,-113,-7.1
Tennessee Titans,11,5,0,.688,491,439,52,3.3
Indianapolis Colts,11,5,0,.688,451,362,89,5.6
Houston Texans,4,12,0,.250,384,464,-80,-5.0
Jacksonville Jaguars,1,15,0,.063,306,492,-186,-11.6
Kansas City Chiefs,14,2,0,.875,473,362,111,6.9
Las Vegas Raiders,8,8,0,.500,434,478,-44,-2.8
Los Angeles Chargers,7,9,0,.438,384,426,-42,-2.6
Denver Broncos,5,11,0,.313,323,446,-123,-7.7
