Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,16,0,1.000,589,274,315,19.7
Buffalo Bills,7,9,.438,252,354,-102,-6.4
New York Jets,4,12,.250,268,355,-87,-5.4
Miami Dolphins,1,15,.063,267,437,-170,-10.6
Pittsburgh Steelers,10,6,.625,393,269,124,7.8
Cleveland Browns,10,6,.625,402,382,20,1.3
Cincinnati Bengals,7,9,.438,380,385,-5,-0.3
Baltimore Ravens,5,11,.313,275,384,-109,-6.8
Indianapolis Colts,13,3,.813,450,262,188,11.8
Jacksonville Jaguars,11,5,.688,411,304,107,6.7
Tennessee Titans,10,6,.625,301,297,4,0.3
Houston Texans,8,8,.500,379,384,-5,-0.3
San Diego Chargers,11,5,.688,412,284,128,8.0
Denver Broncos,7,9,.438,320,409,-89,-5.6
Kansas City Chiefs,4,12,.250,226,335,-109,-6.8
Oakland Raiders,4,12,.250,283,398,-115,-7.2
